DateTime,AddedIPs,RemovedIPs
1525756104,6,55
1525758029,8,17
1525761856,14,0
1525763783,22,0
1525765699,15,16
1525767609,13,12
1525769535,11,11
1525771453,6,14
1525773628,11,3
1525775540,6,19
1525777718,18,0
1525779616,9,12
1525781557,7,21
1525783464,14,12
1525785379,3,0
1525789221,6,13
1525791147,4,15
1525794976,4,19
1525796897,14,1
1525798831,7,0
1525800740,6,16
1525802671,10,4
1525806749,3,19
1525808914,19,5
1525810820,4,0
1525812743,3,0
1525814657,14,10
1525816582,5,8
1525819109,6,1
1525821139,12,0
1525823060,13,0
1525825229,9,13
1525829065,14,3
1525832888,16,21
1525835065,6,14
1525836989,5,11
1525838924,13,11
1525840813,18,11
1525842743,8,13
1525844656,17,8
1525846585,23,7
1525848490,19,13
1525850408,19,11
1525852336,9,5
1525856173,8,16
1525858090,6,6
1525860269,7,1
1525862183,4,5
1525864094,8,5
1525866271,17,0
1525868706,14,7
1525870584,4,10
1525872506,12,11
1525874429,8,9
1525876605,8,0
1525878515,8,4
1525880427,4,11
1525882383,14,5
1525884287,16,0
1525886443,6,8
1525888344,8,4
1525890265,10,7
1525892188,3,13
1525894108,13,8
1525896033,7,12
1525897946,5,11
1525899879,5,0
1525901793,14,0
1525903719,6,10
1525905561,8,0
1525907547,14,2
1525909457,11,7
1525911877,10,9
1525914026,8,0
1525915936,6,12
1525917867,5,9
1525920015,11,11
1525921948,8,12
1525923876,19,15
1525926016,10,14
1525927935,2,6
1525929857,14,12
1525931775,8,5
1525933689,16,10
1525937782,4,0
1525939941,11,12
1525941860,9,6
1525943770,4,11
1525945695,9,0
1525947616,5,8
1525949535,12,10
1525951453,12,0
1525953367,8,8
1525955310,15,1
1525957242,7,5
1525961077,6,27
1525963233,2,0
1525967068,2,13
1525969242,13,3
1525971145,5,2
1525973066,11,3
1525975235,6,7
1525977146,5,11
1525979071,4,13
1525984826,7,10
1525988668,15,6
1525990596,12,8
1525992736,9,12
1525994905,14,5
1525997323,8,22
1525999227,7,19
1526005479,13,27
1526007388,8,20
1526009301,15,11
1526011238,7,11
1526013401,4,14
1526015313,7,19
1526017226,5,10
1526021069,18,9
1526022987,9,9
1526024910,7,0
1526026825,3,16
1526028991,7,11
1526031140,8,10
1526033082,21,0
1526034991,11,5
1526036912,14,17
1526040755,11,23
1526042671,18,10
1526044595,19,3
1526046508,14,3
1526048427,8,5
1526050588,8,13
1526052510,22,7
1526054458,5,7
1526056341,7,6
1526058275,6,1
1526060195,2,5
1526064026,5,22
1526065955,4,14
1526067869,14,7
1526071711,10,21
1526073632,16,18
1526075563,14,9
1526077466,19,8
1526079385,10,20
1526083254,10,15
1526085147,11,11
1526087304,17,7
1526089226,12,22
1526093070,9,21
1526094996,18,12
1526096913,10,4
1526098836,10,10
1526100746,22,7
1526102669,20,12
1526104591,14,0
1526106510,21,7
1526108424,21,12
1526110350,18,16
1526112269,19,16
1526114190,9,15
1526116117,11,6
1526118256,20,0
1526120207,19,10
1526122111,17,11
1526124012,13,0
1526127870,15,14
1526130029,13,12
1526131941,16,10
1526135794,12,11
1526137715,15,3
1526139628,8,7
1526144173,12,32
1526146091,12,9
1526148024,10,12
1526149935,4,6
1526151866,7,13
1526153783,15,10
1526155704,11,13
1526157626,15,7
1526161457,12,19
1526163382,15,9
1526166264,11,19
1526168182,13,14
1526170099,13,0
1526172757,9,0
1526174659,10,19
1526176575,22,8
1526180430,14,13
1526182332,9,21
1526184251,8,12
1526186184,19,9
1526188838,11,33
1526190736,18,0
1526192655,9,12
1526194586,18,12
1526196486,11,0
1526199371,10,17
1526201291,3,3
1526203208,4,4
1526207049,21,23
1526208976,8,22
1526210890,17,7
1526212814,18,14
1526214729,8,16
1526216670,17,12
1526218571,18,16
1526220489,20,16
1526222413,8,12
1526224332,15,9
1526228180,17,8
1526232014,22,9
1526235853,15,12
1526239688,19,21
1526242592,9,17
1526244495,17,11
1526246426,8,8
1526248358,6,22
1526250867,6,7
1526253154,14,8
1526255051,22,0
1526257222,5,0
1526261064,17,12
1526262981,11,13
1526264894,13,5
1526266825,20,14
1526268738,20,16
1526270667,13,11
1526272592,17,16
1526274512,13,15
1526276662,20,29
1526278580,12,0
1526280494,18,18
1526282419,9,29
1526284332,14,0
1526286254,6,15
1526288174,9,7
1526290104,4,21
1526292024,6,4
1526293945,18,5
1526297789,21,15
1526299698,18,22
1526301855,15,10
1526305007,19,35
1526306814,20,0
1526308854,8,13
1526311499,18,13
1526313380,12,9
1526317257,16,11
1526319208,11,10
1526321089,11,3
1526323234,6,4
1526325145,16,19
1526327076,17,4
1526329007,6,22
1526331401,3,5
1526333303,21,11
1526335255,9,7
1526337559,12,7
1526339783,10,7
1526341694,17,16
1526343609,10,4
1526345533,16,0
1526347448,18,2
1526351297,16,14
1526353236,9,11
1526355135,15,0
1526357063,8,11
1526358972,16,0
1526360906,3,12
1526363162,19,11
1526364971,4,0
1526367140,4,14
1526369052,16,20
1526370968,1,15
1526372905,7,11
1526374833,5,9
1526376746,5,11
1526380575,3,13
1526382617,25,13
1526384918,15,12
1526391152,20,34
1526397153,11,9
1526399066,10,0
1526400995,14,7
1526402914,7,17
1526404833,8,5
1526408906,10,10
1526410835,6,0
1526412752,5,5
1526414689,8,20
1526417079,18,6
1526418985,4,2
1526420893,23,14
1526422919,18,5
1526424748,1,4
1526426671,12,8
1526428590,8,8
1526430512,13,14
1526432434,5,0
1526434362,10,14
1526436282,7,0
1526438199,12,12
1526440118,18,5
1526442030,9,4
1526443956,13,7
1526447800,17,19
1526449713,9,14
1526451638,14,24
1526453553,7,18
1526455470,12,23
1526457372,8,11
1526459311,5,0
1526461249,5,10
1526463150,3,6
1526465084,11,6
1526466974,8,0
1526468924,7,11
1526472757,11,17
1526474666,11,14
1526478493,13,11
1526480425,19,6
1526482357,10,4
1526484268,11,10
1526486185,23,2
1526488841,9,8
1526490743,6,19
1526492669,13,8
1526494583,0,7
1526496494,10,10
1526498411,7,3
1526500335,9,14
1526502270,9,8
1526504196,6,4
1526506100,12,4
1526508027,9,5
1526510628,5,11
1526512823,16,18
1526514745,2,12
1526516662,7,0
1526518582,5,8
1526520491,36,10
1526522427,7,6
1526524344,6,6
1526526270,5,8
1526528190,16,7
1526530111,20,12
1526532025,6,10
1526533951,12,1
1526535856,11,16
1526537792,9,10
1526541631,20,14
1526543533,3,4
1526547405,6,19
1526549291,7,3
1526551239,7,8
1526553148,5,5
1526555061,6,9
1526556990,7,12
1526560807,7,22
1526562999,19,9
1526566824,6,7
1526568765,4,4
1526570662,9,0
1526574507,11,13
1526576428,7,4
1526578351,4,14
1526580272,3,8
1526584110,2,11
1526586018,6,0
1526587946,3,0
1526589859,15,4
1526591792,8,0
1526593713,15,16
1526595619,3,13
1526602107,8,22
1526606184,7,12
1526610016,18,0
1526617703,15,47
1526619624,7,3
1526621541,3,7
1526623478,11,4
1526625375,8,0
1526629223,10,26
1526631145,11,11
1526633059,18,7
1526636906,8,14
1526638819,21,15
1526640738,12,9
1526642659,10,11
1526644586,5,0
1526647018,5,11
1526648914,14,17
1526650829,4,13
1526652744,10,14
1526654665,28,7
1526656820,16,6
1526658742,5,21
1526660653,12,4
1526662579,5,11
1526664492,14,7
1526668354,2,3
1526670264,6,6
1526672196,7,4
1526674120,2,18
1526676050,2,0
1526677953,7,6
1526679864,18,11
1526683947,7,32
1526685867,23,8
1526688043,23,0
1526689950,10,19
1526691863,5,0
1526693775,8,12
1526697873,14,25
1526699797,13,13
1526701697,16,0
1526703621,7,7
1526705552,17,27
1526707467,19,0
1526709424,18,38
1526711305,15,0
1526713223,14,21
1526715140,4,25
1526717080,15,39
1526718986,11,0
1526720917,13,22
1526724746,15,16
1526726674,10,18
1526728585,15,19
1526730502,12,17
1526732436,9,0
1526734588,8,19
1526736509,24,15
1526738425,16,20
1526740352,24,0
1526742279,19,10
1526744178,31,16
1526746143,11,7
1526748015,20,0
1526749953,22,13
1526751860,21,11
1526753787,27,11
1526755721,17,5
1526757624,27,6
1526761466,26,27
1526763392,13,13
1526765311,23,0
1526767232,32,16
1526769546,17,19
1526771546,14,11
1526773453,12,10
1526777304,17,15
1526779207,17,6
1526781128,12,12
1526783060,13,22
1526784976,18,0
1526792910,14,43
1526794811,16,18
1526798652,11,23
1526800574,6,19
1526802490,11,17
1526804423,5,12
1526806332,9,3
1526808271,3,5
1526810172,17,0
1526812090,17,21
1526816202,11,27
1526818096,6,18
1526821960,15,29
1526823853,10,16
1526825783,11,19
1526831554,16,21
1526833464,12,25
1526835385,10,0
1526837309,18,22
1526839225,7,0
1526841146,18,15
1526843073,13,0
1526846916,26,19
1526848827,11,9
1526850755,9,11
1526852668,9,9
1526857968,12,21
1526859865,16,24
1526861782,11,0
1526865623,16,4
1526867540,5,17
1526869456,10,15
1526871383,19,15
1526873318,26,23
1526875258,11,18
1526877140,15,18
1526879072,15,20
1526884818,12,47
1526886751,13,16
1526888663,12,10
1526890575,13,17
1526892505,11,5
